Algo,Flavor,Overall,Bucket 0(0.669),Bucket 1(0.088),Bucket 2(0.051),Bucket 3(0.052),Bucket 4(0.014),Bucket 5(0.033),Bucket 6(0.02),Bucket 7(0.02),Bucket 8(0.012),Bucket 9(0.02),Bucket 10(0.018),Bucket 11(0.02),Bucket 12(0.015),Bucket 13(0.01),Bucket 14(0.009),Bucket 15(0.009)
lr,3e-6,0.66,0.87,0.42,0.41,0.44,0.21,0.32,0.36,0.37,0.13,0.27,0.24,0.17,0.22,0.11,0.17,0.47
lr,1e-6,0.59,0.8,0.34,0.23,0.27,0.2,0.26,0.12,0.32,0.05,0.02,0.29,0.13,0.06,0.18,0.15,0.18
xtra_tree,2g4,0.87,0.99,0.9,0.89,0.88,0.69,0.74,0.71,0.67,0.5,0.49,0.5,0.25,0.45,0.35,0.3,0.43
xtra_tree,2e4,0.86,0.99,0.94,0.9,0.88,0.72,0.66,0.73,0.6,0.47,0.45,0.43,0.22,0.26,0.46,0.24,0.46
xtra_tree,2g8,0.88,0.99,0.9,0.89,0.9,0.69,0.69,0.67,0.61,0.76,0.49,0.41,0.38,0.41,0.43,0.19,0.55
xtra_tree,2e8,0.88,0.99,0.89,0.92,0.9,0.78,0.68,0.7,0.57,0.67,0.48,0.34,0.16,0.48,0.46,0.31,0.73
xtra_tree,2g9,0.87,0.99,0.89,0.88,0.88,0.71,0.68,0.68,0.66,0.62,0.47,0.39,0.31,0.38,0.46,0.41,0.59
xtra_tree,2e9,0.87,0.99,0.88,0.89,0.86,0.75,0.74,0.7,0.51,0.66,0.55,0.46,0.28,0.38,0.4,0.36,0.62
xtra_tree,g10,0.87,0.99,0.93,0.87,0.87,0.69,0.66,0.63,0.55,0.65,0.39,0.51,0.33,0.41,0.56,0.22,0.62
xtra_tree,e10,0.87,0.99,0.92,0.89,0.89,0.75,0.66,0.69,0.59,0.6,0.53,0.52,0.33,0.38,0.53,0.3,0.53
xtra_tree,g11,0.87,0.99,0.91,0.87,0.9,0.68,0.69,0.68,0.51,0.62,0.44,0.46,0.42,0.43,0.43,0.3,0.68
xtra_tree,e11,0.88,0.99,0.93,0.89,0.88,0.6,0.66,0.69,0.63,0.65,0.54,0.3,0.33,0.53,0.44,0.24,0.71
xtra_tree,g12,0.88,0.99,0.91,0.9,0.88,0.76,0.64,0.72,0.61,0.63,0.53,0.3,0.21,0.43,0.39,0.4,0.58
xtra_tree,e12,0.88,0.99,0.9,0.89,0.9,0.78,0.7,0.65,0.58,0.6,0.39,0.39,0.33,0.41,0.32,0.32,0.54
