Algo,Flavor,Overall,Bucket 0(0.688),Bucket 1(0.086),Bucket 2(0.052),Bucket 3(0.046),Bucket 4(0.018),Bucket 5(0.031),Bucket 6(0.015),Bucket 7(0.015),Bucket 8(0.009),Bucket 9(0.009),Bucket 10(0.012),Bucket 11(0.019),Bucket 12(0.017),Bucket 13(0.012),Bucket 14(0.012),Bucket 15(0.009)
lr,1e-5,0.75,0.93,0.65,0.7,0.66,0.38,0.57,0.52,0.42,0.26,0.29,0.34,0.31,0.31,0.29,0.16,0.37
lr,3e-6,0.65,0.88,0.43,0.39,0.38,0.31,0.33,0.32,0.22,0.11,0.24,0.26,0.12,0.18,0.2,0.21,0.41
lr,1e-6,0.58,0.82,0.33,0.27,0.3,0.18,0.3,0.15,0.2,0.1,0.13,0.21,0.19,0.05,0.14,0.07,0.16
xtra_tree,2g4,0.85,0.99,0.93,0.86,0.85,0.71,0.71,0.67,0.59,0.57,0.5,0.41,0.39,0.35,0.4,0.16,0.29
xtra_tree,2e4,0.86,0.99,0.93,0.88,0.88,0.74,0.73,0.78,0.6,0.59,0.48,0.5,0.36,0.41,0.36,0.16,0.35
xtra_tree,2g8,0.86,0.99,0.92,0.87,0.91,0.73,0.71,0.67,0.58,0.6,0.5,0.48,0.31,0.36,0.39,0.24,0.52
xtra_tree,2e8,0.86,0.99,0.9,0.89,0.86,0.75,0.73,0.61,0.57,0.59,0.48,0.43,0.33,0.37,0.39,0.2,0.51
xtra_tree,2g9,0.86,0.99,0.93,0.88,0.88,0.77,0.71,0.65,0.53,0.57,0.62,0.34,0.32,0.41,0.44,0.24,0.49
xtra_tree,2e9,0.86,0.99,0.92,0.86,0.87,0.81,0.7,0.68,0.62,0.55,0.61,0.46,0.36,0.33,0.35,0.23,0.5
xtra_tree,g10,0.85,0.99,0.92,0.87,0.87,0.77,0.7,0.68,0.67,0.49,0.49,0.36,0.28,0.39,0.44,0.17,0.51
xtra_tree,e10,0.85,0.99,0.91,0.88,0.88,0.67,0.72,0.62,0.67,0.55,0.55,0.48,0.31,0.34,0.42,0.26,0.56
xtra_tree,g11,0.85,0.99,0.91,0.9,0.87,0.72,0.74,0.67,0.62,0.55,0.54,0.43,0.34,0.34,0.42,0.2,0.57
xtra_tree,e11,0.86,0.99,0.92,0.88,0.88,0.78,0.68,0.67,0.67,0.61,0.59,0.46,0.32,0.33,0.42,0.21,0.5
xtra_tree,g12,0.86,0.99,0.92,0.88,0.88,0.77,0.72,0.71,0.58,0.46,0.52,0.38,0.34,0.36,0.38,0.2,0.53
xtra_tree,e12,0.86,0.99,0.92,0.87,0.88,0.75,0.69,0.66,0.63,0.58,0.57,0.4,0.38,0.38,0.42,0.27,0.46
